orderID,productID,unitPrice,quantity,discount
10248,98,72.25,46,0.0
10248,117,75.84,26,0.15
10248,63,47.09,24,0.15
10249,130,101.35,27,0.15
10249,187,71.36,11,0.0
10249,209,79.02,46,0.15
10250,95,43.82,1,0.1
10250,114,29.51,1,0.0
10250,169,43.59,32,0.1
10251,142,15.44,2,0.1
10251,70,16.13,100,0.1
10251,249,43.06,42,0.0
10252,130,104.47,40,0.05
10252,114,31.12,8,0.0
10252,198,99.33,34,0.1
10253,157,17.15,32,0.0
10253,48,13.12,19,0.15
10254,231,85.77,6,0.0
10254,40,18.1,32,0.0
10254,204,45.06,5,0.1
10255,57,21.41,37,0.05
10255,32,29.15,7,0.0
10255,63,47.87,1,0.15
10256,159,29.77,91,0.0
10256,54,7.93,14,0.1
10256,58,12.81,15,0.1
10256,111,81.01,39,0.05
10257,202,16.34,17,0.05
10257,191,59.67,15,0.0
10258,123,25.17,7,0.0
10258,205,34.12,27,0.1
10259,242,62.6,24,0.0
10259,97,105.75,1,0.0
10259,39,19.44,6,0.0
10260,204,45.18,12,0.15
10260,166,91.21,10,0.0
10260,206,43.5,8,0.0
10260,133,82.37,10,0.15
10261,137,72.16,1,0.1
10261,83,32.38,9,0.2
10261,73,13.81,13,0.1
10261,96,52.32,5,0.15
10262,156,110.94,19,0.05
10262,107,86.46,5,0.0
10262,14,23.5,31,0.0
10263,187,74.16,29,0.0
10263,105,96.56,7,0.0
10263,96,52.86,16,0.15
10263,250,41.68,2,0.25
10264,174,42.25,9,0.1
10264,164,54.04,7,0.1
10264,170,34.55,6,0.0
10265,182,56.45,33,0.0
10265,64,33.88,4,0.05
10266,12,40.61,7,0.1
10266,245,114.56,17,0.1
10266,107,87.3,20,0.0
10267,160,87.4,20,0.15
10267,100,109.43,12,0.0
10267,179,36.29,14,0.25
10267,240,20.0,10,0.05
10268,68,12.81,5,0.05
10268,127,48.61,11,0.05
10268,244,83.76,15,0.05
10269,242,58.41,22,0.25
10269,81,128.6,5,0.05
10269,113,95.53,83,0.1
10269,105,103.28,2,0.0
10270,213,20.62,46,0.15
10270,191,58.04,1,0.05
10270,163,53.58,17,0.0
10271,73,14.81,5,0.0
10271,22,19.95,7,0.2
10271,154,89.73,18,0.0
10271,151,28.13,20,0.0
10271,244,79.47,9,0.1
10271,97,105.79,5,0.15
10271,14,24.5,6,0.15
10272,202,19.84,33,0.1
10272,246,58.57,13,0.0
10272,66,17.98,2,0.05
10273,93,103.61,15,0.1
10273,98,70.03,9,0.05
10273,71,21.08,17,0.15
10273,195,40.14,16,0.1
10274,85,78.55,27,0.0
10274,216,10.52,3,0.25
10274,75,8.16,21,0.0
10274,249,40.5,1,0.0
10275,88,38.48,3,0.0
10275,124,46.07,30,0.0
10276,2,18.44,4,0.0
10276,39,18.47,11,0.1
10276,163,51.48,34,0.05
10276,209,78.48,7,0.0
10277,210,17.16,18,0.15
10277,176,17.36,28,0.05
10277,89,34.12,36,0.1
10278,220,14.15,28,0.15
10278,229,89.05,20,0.15
10278,110,92.76,25,0.0
10278,216,9.39,9,0.1
10278,74,10.86,38,0.1
10279,22,20.58,36,0.25
10279,4,23.42,28,0.0
10279,227,53.19,28,0.05
10279,159,31.22,3,0.0
10280,202,17.04,13,0.15
10280,140,28.85,3,0.15
10280,65,21.71,5,0.0
10281,212,47.33,4,0.0
10281,148,44.02,8,0.1
10281,177,79.78,2,0.15
10281,233,109.81,1,0.0
10282,246,59.3,14,0.0
10282,109,21.86,23,0.0
10282,83,34.18,12,0.1
10283,30,24.03,33,0.0
10283,99,45.55,30,0.2
10284,19,9.72,7,0.25
10284,79,103.77,19,0.05
10284,172,68.92,20,0.15
10284,239,75.3,20,0.25
10284,204,41.89,1,0.05
10284,92,18.97,20,0.1
10285,245,103.51,47,0.0
10285,229,103.35,1,0.0
10285,10,32.98,19,0.0
10285,215,15.97,2,0.15
