supplierID,companyName,contactName,contactTitle,city,country,phone
1,Alvarado-Laureano,Esparta Clara Canales,Order Administrator,Vieja Argentina,Mexico,+13(3)8908386379
2,Pacheco-Smith,Melissa Peterson,Order Administrator,East Susan,USA,311-661-5594x07816
3,"Hurst, Taylor and Mellor",Joshua Thomas-Wilson,Accounting Manager,Jasonbury,UK,(0909)8790164
4,Reid-Diaz,Daniel Adams,Purchasing Manager,New Cynthiaside,USA,001-832-676-4835x030
5,Clark PLC,Emily Rios,Order Administrator,Wilkersonmouth,Australia,07 2388 4969
6,小林鉱業合同会社,鈴木 あすか,Sales Representative,横浜市港南区,Japan,070-2269-1669
7,(유) 인포가람네트웍스,박수민,Owner,홍성군,South Korea,053-146-2704
8,"Gill, Romero and Rodriguez",Sarah Romero,Purchasing Manager,East Nathaniel,USA,(788)609-5701
9,Bohlander GbR,Augustin Wagenknecht,Owner,Berlin,Germany,02278 24896
10,Hickman Ltd,Michelle Ross,Sales Representative,Samuelhaven,USA,213.331.5098x393
11,"Welch, Perez and Whitehead",Andrea Young,Marketing Manager,Lewisberg,USA,001-899-973-7631x165
12,Maillet et Fils,Antoine Antoine,Sales Representative,Nicolas,France,+33 3 52 38 72 62
13,Ford-Baxter,Robert Chase,Owner,North Deniseside,USA,2134267736
14,Smith-Myers,Rachel Mitchell,Purchasing Manager,Mooreport,USA,909.480.5009
15,Sauceda A.C.,Ángela Rosario Barreto,Accounting Manager,Vieja Cabo Verde,Mexico,1-399-091-6998x5435
16,da Luz Gonçalves S.A.,Letícia Marques,Order Administrator,Sá de Minas,Brazil,+55 (021) 7991 1838
17,Anderson-Bailey,David Mitchell,Sales Representative,Bassport,USA,+1-680-684-1241x182
18,"Clark, Cooper and Watts",Kathy King,Purchasing Manager,North Cynthiaview,Canada,105-242-7868
19,Comercializadora VCRE S.A.,Alfonso Mendez Pastor,Order Administrator,Huelva,Spain,+34874 31 58 69
20,"Moore, Spears and Hancock",Rita Keith,Marketing Manager,East Jillmouth,USA,(534)221-6073x37543
21,Servicios Internacionales S.C.P,Rolando Lorenzo Ortega,Marketing Manager,Soria,Spain,+34987 501 429
22,佐藤通信有限会社,石川 花子,Order Administrator,荒川区,Japan,070-6934-0608
23,"Holmes, Singh and Pratt",Shannon Williams,Marketing Manager,Saramouth,UK,029 2018148
24,Estrada-Nguyen,Kristen Lee,Purchasing Manager,Byrdburgh,USA,+1-794-968-0443x699
25,Laitinen,Leena Rissanen,Sales Representative,Heinola,Finland,+358895134332
26,Parker Group,Alan Murphy,Purchasing Manager,Lake Bethan,UK,01414960763
27,Douglas Inc,Shannon Mcclure,Purchasing Manager,Robinsonhaven,USA,908.831.7278x895
28,"Griffin, Moore and Hensley",Paul Larsen,Order Administrator,Katiehaven,USA,434.571.4345x5812
29,Ledesma-Vega,Renata Romero Medina,Accounting Manager,La Plata,Argentina,+54 15 2866 9096
30,Bender LLC,Sarah Ashley,Accounting Manager,Medinaside,Canada,(373) 467-0656
31,Zaira Castell Amores S.L.N.E,Marcela Amores-Blanes,Sales Representative,Barcelona,Spain,+34974204653
32,Murphy-Juarez,Paul Decker,Order Administrator,Maryfort,Australia,8053 1003
33,Almeida Pinto S.A.,Davi Lucas Melo,Accounting Manager,Nunes,Brazil,+55 11 7452-9912
34,Eisl Polzer AG,Marco Schatz-Zeller,Marketing Manager,Marchtrenk,Austria,02919/31491905
35,Lorch,Annedore Patberg,Accounting Manager,Anklam,Germany,0716572628
36,Pimenta,Rafaela Martins,Marketing Manager,Siqueira Verde,Brazil,+55 81 5314-7379
37,Navarrete y Andrade S.Coop.,Casandra Torrent Garay,Sales Representative,Zaragoza,Spain,+34 883 549 480
38,"Vaughan, Miller and Cortez",Peter Vaughn DDS,Purchasing Manager,Westtown,Canada,943.634.9578
39,Johansson Norman HB,Nicklas Fransson,Purchasing Manager,Mölndal,Sweden,+46 (0)35 18 23 37
40,Hardy-Bray,Diane Garcia,Accounting Manager,West Jeremy,Canada,340 824 0084
41,鈴木水産合同会社,山田 美加子,Marketing Manager,台東区,Japan,080-0471-1671
42,"Soto, Brown and Hernandez",Elizabeth Mcknight,Owner,New Kathybury,USA,001-586-577-4964x990
